Production Year,Production Date Entered,Operator,County,Field,Active Oil Wells,Inactive Oil Wells,Self-use Well
1988,03/14/1990,"Eclipse Management Assoc., Inc",Chautauqua,LAKESHORE,0,0,NO
1980,06/27/1994,National Fuel Gas Supply Corp.,Erie,ORCHARD PARK-HAMBURG,0,0,YES
1988,03/14/1990,"Eclipse Management Assoc., Inc",Chautauqua,LAKESHORE,0,0,NO
1987,05/17/1988,"Union Drilling,  Inc.",Seneca,FAYETTE-WATERLOO,0,0,NO
1978,07/13/1994,National Fuel Gas Supply Corp.,Chautauqua,LAKESHORE,0,0,INACTIVE
1986,03/27/1987,"Templeton Energy,  Inc.",Chautauqua,LAKESHORE,0,0,NO
1999,04/12/2000,"Lenape Resources, Inc.",Erie,COWLESVILLE,0,0,INACTIVE
1978,07/14/1994,"Flint Oil & Gas, Inc.",Erie,ORCHARD PARK-HAMBURG,0,0,NO
1982,05/31/1994,"Pan Energy Company, Inc.",Cattaraugus,LAKESHORE,0,0,
1990,03/31/1991,Vineyard Oil & Gas Company,Chautauqua,LAKESHORE,0,0,NO
1981,06/20/1994,"Sager, Howard & Judith",Cattaraugus,,0,0,YES
1999,02/02/2000,"Spurr, Ruth E.",Chautauqua,LAKESHORE,0,0,YES
1987,04/19/1988,"Alden Aurora Gas Co.,  Inc.",Wyoming,ALDEN-LANCASTER,0,0,NO
1994,02/22/1995,"Clark, Donald C",Wyoming,LEICESTER,0,0,YES
1985,05/23/1986,National Fuel Gas Supply Corp.,Chautauqua,LAKESHORE,0,0,NO
1987,07/12/1988,"Whirlpool Gas & Oil Co., Inc.",Chautauqua,LAKESHORE,0,0,NO
1979,07/07/1994,Piarist Fathers,Erie,LAKEVIEW,0,0,YES
1990,02/01/1991,"Greene, Kenneth & Myrtle",Allegany,RICHBURG,15,0,NO
1992,03/30/1993,CNG Transmission Corp.,Livingston,LEICESTER,0,0,NO
1969,10/03/1994,"Riehl, Richard Estate",Allegany,,20,15,NO
1974,09/08/1994,"Musser, S.  T.",Chautauqua,BUSTI,4,0,NO
1985,04/10/1986,Westinghouse Electric Corp.,Erie,ALDEN-LANCASTER,0,0,INACTIVE
1998,03/10/1999,Shorewood Farms Drilling,Erie,LAKEVIEW,0,0,YES
1988,07/24/1989,Rochester Gas & Electric Corp.,Genesee,PAVILION,0,0,YES
1999,04/07/2000,L. W. Resources,Chautauqua,LAKESHORE,0,0,INACTIVE
1989,04/11/1990,Midwest O & G Ltd Partnership,Chautauqua,LAKESHORE,0,0,YES
1976,08/22/1994,"Bellows, Herbert & Nellie",Allegany,FULMER VALLEY,4,0,NO
1993,01/24/1994,"GH Graf Realty Corp., Inc.",Chautauqua,LAKESHORE,0,0,INACTIVE
1999,04/24/2000,Columbia Natural Resources  LLC,Yates,UNNAMED,0,0,INACTIVE
1982,06/01/1994,"Reserve Gas Company, Inc.",Genesee,ALDEN-LANCASTER,0,0,YES
1981,06/06/1994,Exolon-Esk Co.,Erie,LAKESHORE,0,0,NO
1978,07/13/1994,"Bounty Holdings, Incorporated",Chautauqua,BUSTI,0,0,NO
1980,06/20/1994,"Doran & Associates, Inc.",Chautauqua,LAKESHORE,0,0,INACTIVE
1991,03/31/1992,Joyce Western Corp.,Erie,LAKEVIEW,0,0,NO
1991,01/15/1992,"Stiegler, Richard M",Erie,BUFFALO,0,0,YES
1988,04/13/1989,"Envirogas, Inc.",Chautauqua,LAKESHORE,0,0,NO
1987,02/29/1988,"Meter, Erin L. & William J.",Livingston,DANSVILLE,0,0,YES
1997,02/17/1998,"Plants and Goodwin, Inc.",Allegany,RICHBURG,91,0,NO
1973,09/15/1994,Felmont Oil Corp.,Cattaraugus,,0,1,INACTIVE
1986,03/18/1987,"Ebenezer Oil Co., Inc.",Allegany,RICHBURG,39,0,NO
1986,11/30/1987,"Miller, Connie S.",Erie,LAKESHORE,0,0,YES
1981,06/20/1994,Eastern American Energy Corp.,Cattaraugus,RANDOLPH,0,17,NO
1994,01/31/1995,"Quebecor Printing Buffalo, Inc",Erie,ALDEN-LANCASTER,0,0,INACTIVE
1996,09/16/1997,"Heath, Francis A. & Ruth E. Heath",Cattaraugus,LAKESHORE,0,0,YES
1978,07/11/1994,"Torrey, Richard",Cattaraugus,BRADFORD,0,33,INACTIVE
1980,06/13/1994,Joyce Management Corp.,Allegany,RICHBURG,10,4,NO
1976,08/24/1994,P.M.Oil,Cattaraugus,BRADFORD,22,0,NO
1974,09/08/1994,Ernest Meridan Oil Co.,Cattaraugus,BRADFORD,83,0,NO
1969,09/30/1994,Iroquois Gas Corp.,Erie,BRANT-EDEN,0,0,NO
1986,02/25/1987,Fitzgerald Brothers,Ontario,HONEOYE-ORISKANY,0,0,NO
1995,03/12/1996,"Lenape Resources, Inc.",Livingston,UHLEY CORNERS-CALEDONIA,0,0,NO
1996,02/05/1997,Francis Root Oil Company,Allegany,ALMA,0,21,INACTIVE
1987,04/22/1988,P & G Oil Co.,Allegany,FULMER VALLEY,7,0,NO
1998,02/23/1999,"Carls, Thomas A",Cattaraugus,FOUR MILE,20,15,NO
1987,03/21/1988,"B.C.R. Development, Inc.",Allegany,RICHBURG,77,0,NO
1995,02/26/1996,Romolo Realty Corporation.,Erie,ORCHARD PARK-HAMBURG,0,0,NO
1990,04/04/1991,"Crooks, John C",Allegany,RICHBURG,0,56,NO
1984,04/04/1985,Gypsum Energy Management Co.,Genesee,INDIAN FALLS,0,0,NO
1986,04/13/1987,U S Energy Development Corp.,Chautauqua,LAKESHORE,0,0,NO
1991,03/13/1992,National Fuel Gas Supply Corp.,Cattaraugus,LAKESHORE,0,0,NO
1998,03/05/1999,Lomak Operating Company,Chautauqua,LAKESHORE,0,0,NO
1990,03/26/1991,Arlington Exploration Co.,Steuben,ADRIAN REEF,0,0,NO
1968,09/30/1994,Iroquois Gas Corp.,Cattaraugus,,0,0,NO
1986,03/18/1987,Felmont Nat. Gas Storage Co.,Cattaraugus,ALLEGANY STATE PARK,0,0,
1985,02/24/1986,"Eclipse Energy Company, LLC",Erie,BRANT-EDEN,0,0,NO
1986,02/19/1987,Joyce Management Corp.,Allegany,ANDOVER,1,14,NO
1971,09/23/1994,"Scott, Ross",Allegany,BEECH HILL-INDEPENDENCE,0,0,YES
1990,04/27/1992,CNG Transmission Corp.,Cayuga,WEST AUBURN,0,0,NO
1998,03/22/1999,Altimus & Associates,Chautauqua,LAKESHORE,0,0,NO
1984,04/04/1985,"Roberts, Carl H",Allegany,CLARKSVILLE,5,0,NO
1986,03/27/1987,"Templeton Energy,  Inc.",Chautauqua,LAKESHORE,0,0,NO
